Owner,Player,Position,Bid,ProjectedPoints
AJ,Alabama,SEC,60,174
Jawad,Washington,Pac 12,76,167
Netten,Michigan,Big Ten,191,162
Ross,Georgia,SEC,68,161
Jared,Texas,Big 12,48,155
Jared,LSU,SEC,69,131
Jawad,Florida State,ACC,36,129
AJ,Penn State,Big Ten,43,115
Ross,Oregon,Pac 12,45,107
Jawad,Missouri,SEC,26,84
Jawad,Notre Dame,Flex,20,83
AJ,Ohio State,Big Ten,29,81
Jared,USC,Pac 12,35,77
Ross,Clemson,ACC,35,77
AJ,North Carolina,ACC,18,61
AJ,UCLA,Pac 12,14,53
Jared,Illinois,Big Ten,20,53
Tilo,Iowa,Big Ten,191,48
Jared,Oregon State,Flex,10,45
AJ,Duke,Flex,5,44
Jawad,Texas A&M,SEC,14,41
Jawad,Oklahoma,Big 12,17,40
Ross,South Carolina,SEC,7,39
AJ,Kansas State,Big 12,5,38
Jared,Utah,Flex,9,37
Jawad,Arizona,Flex,2,37
AJ,Kentucky,SEC,7,36
Ross,Miami (FL),Flex,5,35
Tilo,Auburn,SEC,1,32
Ross,Toledo,SmallSchool,8,31
Jared,Louisville,ACC,1,30
Ross,TCU,Big 12,1,29
Tilo,North Carolina State,ACC,1,29
Jared,Minnesota,Big Ten,5,28
Tilo,Washington State,Pac 12,1,28
Jared,Tennessee,SEC,2,27
Ross,Mississippi State,Flex,3,26
AJ,BYU,SmallSchool,16,26
Netten,Florida,SEC,1,26
Tilo,Kansas,Big 12,1,25
Netten,Arkansas,SEC,1,24
AJ,Texas Tech,Flex,3,23
Netten,West Virginia,Big 12,1,23
Tilo,South Dakota State,SmallSchool,1,22
Netten,Houston,SmallSchool,1,22
Tilo,UCF,Flex,1,21
Ross,Wisconsin,Big Ten,1,21
Ross,Maryland,Big Ten,2,21
Netten,Pittsburgh,ACC,1,21
Netten,UConn,Flex,1,21
Tilo,Iowa State,Flex,1,21
Jawad,Western Michigan,SmallSchool,2,21
Netten,Tulane,Flex,1,19
Jawad,Rutgers,Big Ten,2,17
Jared,Western Kentucky,SmallSchool,1,17
Tilo,Ole Miss,SEC,1,16
Jawad,Purdue,Big Ten,2,10
Netten,Nebraska,Big Ten,1,5
Tilo,Michigan State,Big Ten,1,5
Netten,Stanford,Pac 12,1,5
