School,Person,Price,Projected Points,Projected Points/$,Actual Points,Actual Points/$,Difference/$,Difference
Baylor,AJ,10,48,4.8,54,5.4,0.6,6
Michigan,AJ,14,78,5.571428571,162,11.57142857,6,84
TCU,AJ,20,86,4.3,115,5.75,1.45,29
LSU,Jawad,42,250,5.952380952,317,7.547619048,1.595238095,67
Clemson,Jared,46,107,2.326086957,146,3.173913043,0.847826087,39
Louisville,AJ,13,31,2.384615385,30,2.307692308,-0.07692307692,-1
Oregon,Ross,21,81,3.857142857,66,3.142857143,-0.7142857143,-15
Iowa,Tilo,25,80,3.2,95,3.8,0.6,15
Alabama,Tilo,52,238,4.576923077,220,4.230769231,-0.3461538462,-18
Washington,AJ,11,73,6.636363636,25,2.272727273,-4.363636364,-48
Florida,AJ,15,77,5.133333333,109,7.266666667,2.133333333,32
Penn State,Jawad,12,69,5.75,70,5.833333333,0.08333333333,1
Georgia,Jared,25,112,4.48,126,5.04,0.56,14
Ohio State,Jawad,40,164,4.1,201,5.025,0.925,37
Wisconsin,AJ,13,57,4.384615385,85,6.538461538,2.153846154,28
Lenoir–Rhyne,Ross,3,20,6.666666667,20,6.666666667,0,0
Utah,Ross,9,65,7.222222222,86,9.555555556,2.333333333,21
Oklahoma,Ross,26,96,3.692307692,100,3.846153846,0.1538461538,4
Auburn,Ross,27,91,3.37037037,131,4.851851852,1.481481481,40
Notre Dame,Jared,10,57,5.7,76,7.6,1.9,19
Arkansas,AJ,1,27,27,25,25,-2,-2
USC,Tilo,3,38,12.66666667,70,23.33333333,10.66666667,32
Mississippi State,Tilo,4,39,9.75,65,16.25,6.5,26
South Carolina,Jared,8,57,7.125,93,11.625,4.5,36
Missouri,Tilo,4,43,10.75,28,7,-3.75,-15
Fresno State,AJ,2,27,13.5,24,12,-1.5,-3
Houston,Jawad,3,30,10,10,3.333333333,-6.666666667,-20
Minnesota,Jared,5,45,9,44,8.8,-0.2,-1
Utah State,Tilo,3,44,14.66666667,35,11.66666667,-3,-9
Nebraska,Jawad,2,25,12.5,11,5.5,-7,-14
Texas A&M,Ross,3,36,12,26,8.666666667,-3.333333333,-10
Michigan State,Tilo,3,25,8.333333333,33,11,2.666666667,8
Virginia,Tilo,4,33,8.25,14,3.5,-4.75,-19
Texas Tech,Tilo,1,21,21,42,42,21,21
Texas,Jared,1,29,29,37,37,8,8
Boise State,Ross,3,43,14.33333333,24,8,-6.333333333,-19
Colorado,Jared,2,35,17.5,45,22.5,5,10
Miami (FL),Ross,1,25,25,58,58,33,33
Maryland,Ross,2,22,11,14,7,-4,-8
Temple,Jared,1,27,27,58,58,31,31
California,AJ,1,17,17,54,54,37,37
Purdue,Jawad,1,15,15,23,23,8,8
Illinois,Ross,1,12,12,0,0,-12,-12
Arizona State,Tilo,1,31,31,40,40,9,9
Tennessee,Jared,1,20,20,35,35,15,15
Northwestern,Jared,1,2,2,0,0,-2,-2
