School,Owner,LeagifyRound,LeagifyPick,LeagifyPosition
Alabama,Jared,1,1,SEC
Michigan,Tilo,1,2,B10
Ohio State,Ross,1,3,B10
LSU,Jawad,1,4,SEC
Clemson,AJ,1,5,ACC
Florida,AJ,2,6,SEC
Washington,Jawad,2,7,P12
Tennessee,Ross,2,8,SEC
Florida State,Tilo,2,9,ACC
Utah,Jared,2,10,P12
Texas A&M,Jared,3,11,SEC
UCLA,Tilo,3,12,P12
Stanford,Ross,3,13,P12
Wisconsin,Jawad,3,14,B10
Miami (Fla.),AJ,3,15,ANY
North Carolina,AJ,4,16,ANY
Auburn,Jawad,4,17,SEC
Southern California,Ross,4,18,ANY
Iowa,Tilo,4,19,B10
Pittsburgh,Jared,4,20,ACC
Temple,Jared,5,21,SML
Colorado,Tilo,5,22,ANY
Western Michigan,Ross,5,23,SML
Oklahoma,Jawad,5,24,B12
Houston,AJ,5,25,SML
Vanderbilt,AJ,6,26,SEC
Michigan State,Jawad,6,27,B10
Western Kentucky,Ross,6,28,SML
Ole Miss,Tilo,6,29,SEC
West Virginia,Jared,6,30,B12
Missouri,Jared,7,31,ANY
Arkansas,Tilo,7,32,SEC
Virginia Tech,Ross,7,33,ACC
Louisville,Jawad,7,34,ACC
Notre Dame,AJ,7,35,SML
San Diego State,AJ,8,36,ANY
Texas Tech,Jawad,8,37,ANY
Connecticut,Ross,8,38,ANY
Toledo,Tilo,8,39,SML
California,Jared,8,40,ANY
Indiana,Jared,9,41,B10
Oklahoma State,Tilo,9,42,B12
Kansas State,Ross,9,43,B12
Penn State,Jawad,9,44,ANY
Illinois,AJ,9,45,B10
Baylor,AJ,10,46,B12
Charlotte,Jawad,10,47,SML
Minnesota,Ross,10,48,B10
Ohio,Tilo,10,49,SML
Northwestern,Jared,10,50,B10
Louisiana Tech,Jared,11,51,SML
Eastern Washington,Tilo,11,52,ANY
East Carolina,Ross,11,53,ANY
Youngstown State,Jawad,11,54,SML
Oregon State,AJ,11,55,P12
Nebraska,AJ,12,56,B10
Ashland,Jawad,12,57,ANY
Georgia,Ross,12,58,SEC
Kutztown,Tilo,12,59,ANY
South Alabama,Jared,12,60,ANY
