RD,PICK,Player,School,State,Owner,TEAM,Value,Traded,Trade Bonus,Total Points,Drafttek Rank,Rank/Pick Diff.,PFR Value
1,1,Kyler Murray,Oklahoma,Oklahoma,Jared,Cardinals,40,,0,40,4,3,69
1,2,Nick Bosa,Ohio State,Ohio,Jared,Niners,35,,0,35,1,-1,59
1,3,Quinnen Williams,Alabama,Alabama,Tilo,Jets,35,,0,35,2,-1,59
1,4,Clelin Ferrell,Clemson,South Carolina,Jared,Raiders,35,,0,35,18,14,58
1,5,Devin White,LSU,Louisiana,Jawad,Bucs,35,,0,35,5,0,49
1,6,Daniel Jones,Duke,North Carolina,Tilo,Giants,35,,0,35,27,21,49
1,7,Josh Allen,Kentucky,Kentucky,Ross,Jaguars,35,,0,35,3,-4,40
1,8,T.J. Hockenson,Iowa,Iowa,AJ,Lions,35,,0,35,9,1,50
1,9,Ed Oliver,Houston,Texas,Ross,Bills,35,,0,35,7,-2,46
1,10,Devin Bush,Michigan,Michigan,Tilo,Steelers,35,Yes,10,45,24,14,51
1,11,Jonah Williams,Alabama,Alabama,Tilo,Bengals,30,,0,30,16,5,43
1,12,Rashan Gary,Michigan,Michigan,Tilo,Packers,30,,0,30,12,0,46
1,13,Christian Wilkins,Clemson,South Carolina,Jared,Dolphins,30,,0,30,19,6,45
1,14,Chris Lindstrom,Boston College,Massachusetts,Jawad,Falcons,30,,0,30,32,18,39
1,15,Dwayne Haskins,Ohio State,Ohio,Jared,Redskins,30,,0,30,8,-7,37
1,16,Brian Burns,Florida State,Florida,AJ,Panthers,30,,0,30,38,22,40
1,17,Dexter Lawrence,Clemson,South Carolina,Jared,Giants,30,Yes,10,40,46,29,39
1,18,Garrett Bradbury,NC State,North Carolina,Tilo,Vikings,30,,0,30,28,10,38
1,19,Jeffery Simmons,Mississippi State,Mississippi,Jawad,Titans,30,,0,30,53,34,43
1,20,Noah Fant,Iowa,Iowa,AJ,Broncos,30,Yes,10,40,22,2,36
