Owner:,Picked:,Predicted Points At Draft,Actual Value,Change
Ross,Texas,187,274,87
Tilo,Maryland,19,88,69
Jared,Oklahoma,133,197,64
Jawad,Washington,142,203,61
Jared,Ohio,171,230,59
Tilo,Michigan,141,199,58
Jared,South Carolina,144,202,58
Ross,Illinois,34,83,49
Tilo,Tennessee,31,74,43
Ross,Kentucky,84,123,39
Jared,West Virginia,61,100,39
Ross,Pennsylvania,104,140,36
AJ,Utah,52,86,34
Jared,Indiana,76,110,34
Jared,Oregon,21,55,34
AJ,Arkansas,10,41,31
AJ,Georgia,96,126,30
Jared,New Jersey,4,32,28
Tilo,Alabama,250,276,26
Ross,Hawaii,9,35,26
Jawad,Mississippi,211,236,25
Ross,California,144,169,25
Jawad,Massachusetts,75,100,25
Jawad,Arizona,37,58,21
Tilo,Idaho,9,25,16
Jawad,South Dakota,3,15,12
Ross,Minnesota,8,17,9
AJ,Wyoming,10,16,6
Jawad,Louisiana,112,114,2
Ross,Virginia,67,67,0
Jawad,Kansas,42,42,0
Jawad,North Dakota,7,7,0
AJ,Iowa,134,129,-5
AJ,New York,20,15,-5
Tilo,North Carolina,151,145,-6
AJ,Florida,221,212,-9
Jared,Nebraska,12,0,-12
Tilo,Missouri,64,51,-13
Tilo,Delaware,30,15,-15
AJ,Wisconsin,46,31,-15
