State,Total Points,Trade Bonuses
Alabama,276,60
Texas,274,80
Mississippi,236,60
Ohio,230,70
Florida,212,60
Washington,203,70
South Carolina,202,40
Michigan,199,50
Oklahoma,197,60
California,169,60
North Carolina,145,20
Pennsylvania,140,50
Iowa,129,30
Georgia,126,50
Kentucky,123,40
Louisiana,114,30
Indiana,110,40
West Virginia,100,50
Massachusetts,100,30
Maryland,88,40
Utah,86,20
Illinois,83,40
Tennessee,74,30
Virginia,67,30
Arizona,58,20
Oregon,55,30
Missouri,51,20
Kansas,42,10
Arkansas,41,20
Hawaii,35,10
New Jersey,32,20
Wisconsin,31,0
Colorado,26,10
Idaho,25,10
Minnesota,17,10
Wyoming,16,10
South Dakota,15,0
New York,15,10
Delaware,15,0
North Dakota,7,0
Grand Total,4164,1290
