Owner,Points,Bonus?,Rnd.,Pick #,NFL team,Player,Pos.,College,Conf.,Notes
Tilo,30,,1,1,Houston Texans,Jadeveon Clowney,DE,South Carolina,SEC,
Ross,20,,1,2,St. Louis Rams,Greg Robinson,OT,Auburn,SEC,from Washington[R1 - 1]
AJ,20,,1,3,Jacksonville Jaguars,Blake Bortles,QB,University of Central Florida,The American,
AJ,20,,1,4,Buffalo Bills,Sammy Watkins,WR,Clemson University,ACC,from Cleveland
Jared,20,,1,5,Oakland Raiders,Khalil Mack,LB,Buffalo University,MAC,
AJ,20,,1,6,Atlanta Falcons,Jake Matthews,OT,Texas A&M,SEC,
AJ,20,,1,7,Tampa Bay Buccaneers,Mike Evans,WR,Texas A&M,SEC,
Ross,20,,1,8,Cleveland Browns,Justin Gilbert,DB,Oklahoma State,Big 12,from Minnesota
Jared,20,5,1,9,Minnesota Vikings,Anthony Barr,LB,UCLA,Pac-12,from Cleveland via Buffalo
Jared,20,,1,10,Detroit Lions,Eric Ebron,TE,North Carolina,ACC,
AJ,15,,1,11,Tennessee Titans,Taylor Lewan,OT,Michigan,Big Ten,
Jawad,15,,1,12,New York Giants,"Odell Beckham, Jr.",WR,LSU,SEC,
Ross,15,,1,13,St. Louis Rams,Aaron Donald,DT,Pittsburgh,ACC,
Tilo,15,,1,14,Chicago Bears,Kyle Fuller,CB,Virginia Tech,ACC,
Jared,15,,1,15,Pittsburgh Steelers,Ryan Shazier,LB,Ohio State,Big Ten,
Jawad,15,,1,16,Dallas Cowboys,Zach Martin,OT,Notre Dame,Ind.,
Jared,15,,1,17,Baltimore Ravens,C.J. Mosley,LB,Alabama,SEC,
Ross,15,,1,18,New York Jets,Calvin Pryor,S,Louisville,The American,
Jared,15,,1,19,Miami Dolphins,Ja'Wuan James,OT,Tennessee,SEC,
Tilo,15,,1,20,New Orleans Saints,Brandin Cooks,WR,Oregon State,Pac-12,
Jared,10,,1,21,Green Bay Packers,Ha Ha Clinton-Dix,S,Alabama,SEC,
AJ,10,5,1,22,Cleveland Browns,Johnny Manziel,QB,Texas A&M,SEC,from Philadelphia
Ross,10,,1,23,Kansas City Chiefs,Dee Ford,DE,Auburn,SEC,
Tilo,10,,1,24,Cincinnati Bengals,Darqueze Dennard,CB,Michigan State,Big Ten,
AJ,10,,1,25,San Diego Chargers,Jason Verrett,CB,TCU,Big 12,
Ross,10,,1,26,Philadelphia Eagles,Marcus Smith,DE,Louisville,The American,from Indianapolis[R1 - 3]
Nobody!,10,,1,27,Arizona Cardinals,Deone Bucannon,S,Washington State,Pac-12,from New Orleans
Jawad,10,,1,28,Carolina Panthers,Kelvin Benjamin,WR,Florida State,ACC,
Jawad,10,,1,29,New England Patriots,Dominique Easley,DT,Florida,SEC,
Ross,10,,1,30,San Francisco 49ers,Jimmie Ward,S,Northern Illinois,MAC,
Jared,10,,1,31,Denver Broncos,Bradley Roby,CB,Ohio State,Big Ten,
Ross,10,,1,32,Minnesota Vikings,Teddy Bridgewater,QB,Louisville,The American,from Seattle
,,,Round 2,,,,,,,
Jared,6,,2,33,Houston Texans,Xavier Su'a-Filo,G,UCLA,Pac-12,
Ross,6,,2,34,Dallas Cowboys,Demarcus Lawrence,DE,Boise State,MWC,from Washington[R1 - 10]
Nobody!,6,,2,35,Cleveland Browns,Joel Bitonio,OT,Nevada,MWC,
Tilo,6,,2,36,Oakland Raiders,Derek Carr,QB,Fresno State,MWC,
Jared,6,,2,37,Atlanta Falcons,Ra'Shede Hageman,DT,Minnesota,Big Ten,
Ross,6,,2,38,Tampa Bay Buccaneers,Austin Seferian-Jenkins,TE,Washington,Pac-12,
Jawad,6,,2,39,Jacksonville Jaguars,Marqise Lee,WR,USC,Pac-12,
Tilo,6,,2,40,Detroit Lions,Kyle Van Noy,LB,BYU,Ind.,from Minnesota via Seattle[R2 - 1]
Jawad,6,,2,41,St. Louis Rams,Lamarcus Joyner,S,Florida State,ACC,from Buffalo[R2 - 2]
Jared,6,,2,42,Philadelphia Eagles,Jordan Matthews,WR,Vanderbilt,SEC,from Tennessee[R2 - 3]
AJ,6,,2,43,New York Giants,Weston Richburg,C,Colorado State,MWC,
Jared,6,,2,44,Buffalo Bills,Cyrus Kouandjio,OT,Alabama,SEC,from St. Louis[R2 - 4]
Nobody!,6,,2,45,Seattle Seahawks,Paul Richardson,WR,Colorado,Pac-12,from Detroit
Jawad,6,,2,46,Pittsburgh Steelers,Stephon Tuitt,DE,Notre Dame,Ind.,
