projected pts,actual points,difference,Drafted Schools,Team
160,168,8,Florida State,Tilo
116,101,-15,Alabama,Ross
121,95,-26,Oregon,Jawad
97,105,8,Washington,AJ
92,114,22,Miami (FL),Jared
90,92,2,USC,Tilo
90,43,-47,LSU,Ross
69,80,11,Clemson,Jawad
67,53,-14,Iowa,AJ
86,37,-49,UCLA,Jared
78,105,27,Florida,Tilo
81,96,15,Louisville,Ross
60,40,-20,Auburn,Jawad
46,55,9,West Virginia,AJ
57,53,-4,Oklahoma,Jared
69,52,-17,Michigan State,Tilo
63,82,19,Stanford,Ross
77,86,9,Missouri,Jawad
46,33,-13,UCF,AJ
64,58,-6,Mississippi State,Jared
57,53,-4,Texas,Tilo
44,16,-28,TCU,Ross
48,37,-11,Nebraska,Jawad
54,66,12,Georgia,AJ
43,45,2,Wisconsin,Jared
32,28,-4,South Carolina,Tilo
41,33,-8,Kentucky,Ross
44,50,6,Ohio State,Jawad
30,25,-5,Colorado State,AJ
15,31,16,Connecticut,Jared
41,16,-25,Virginia,Tilo
44,34,-10,Penn State,Ross
25,13,-12,Baylor,Jawad
16,5,-11,Notre Dame,AJ
30,32,2,Texas A&M,Jared
35,51,16,Utah,Tilo
30,37,7,Minnesota,Ross
51,51,0,Arizona State,Jawad
30,8,-22,Pittsburgh,AJ
19,19,0,Fresno State,Jared
19,43,24,Michigan,Tilo
21,30,9,Wake Forest,Ross
20,7,-13,Boise State,Jawad
22,33,11,Arkansas,AJ
15,10,-5,Northern Iowa,Jared
18,8,-10,East Carolina,Tilo
30,33,3,Duke,Ross
23,16,-7,Kansas State,Jawad
10,15,5,Hobart,AJ
16,10,-6,Indiana,Jared
19,6,-13,Central Michigan,Tilo
13,0,-13,Houston,Ross
20,22,2,Georgia Tech,Jawad
16,17,1,Boston College,AJ
14,18,4,Kansas,Jared
9,5,-4,William & Mary,Tilo
7,0,-7,Harvard,Ross
8,20,12,Samford,Jawad
10,13,3,Maryland,AJ
13,11,-2,Virginia Tech,Jared
7,0,-7,Utah State,Tilo
7,8,1,San Diego State,Ross
8,0,-8,Cincinnati,Jawad
8,0,-8,Arizona,AJ
15,38,23,Oregon State,Jared
